OCR,T,P,c
1349.32,31.75,0.82,12
1349.57,31.75,0.82,12
1349.44,31.74,0.82,12
1349.23,31.74,0.82,12
1348.72,31.74,0.82,12
1345.43,31.74,0.82,12
1345.64,31.74,0.82,12
1345.7,31.74,0.82,12
1345.43,31.73,0.82,12
1344.12,31.73,0.82,12
1342.17,31.73,0.82,12
1339.45,31.73,0.82,12
1189.33,31.73,0.82,12
1126.19,31.73,0.82,12
1114.67,31.73,0.82,12
874.85,31.73,0.82,12
868.42,31.72,0.82,12
867.53,31.72,0.82,12
470.09,31.72,0.82,0
523.87,31.72,0.82,5.89
524.21,31.72,0.82,6.11
524.21,31.72,0.82,6.12
461.05,31.72,0.82,0
1991.34,31.71,0.82,0
1991.34,31.7,0.82,0
1991.34,31.7,0.81,0
1991.34,31.71,0.81,0
1991.34,31.72,0.81,0
1991.34,31.69,0.81,0
1991.34,31.68,0.81,0
1991.34,31.67,0.81,0
1991.34,31.66,0.81,0
1991.34,31.65,0.81,0
1991.34,31.72,0.82,0
1991.34,31.73,0.82,0
1991.34,31.74,0.82,0
1991.34,31.75,0.82,0
1991.34,31.76,0.82,0
1991.34,31.77,0.82,0
1991.34,31.78,0.82,0
1991.34,31.79,0.82,0
1991.34,31.8,0.82,0
1991.34,31.81,0.82,0
1991.34,31.82,0.82,0
1991.34,31.83,0.82,0
1991.34,31.84,0.82,0
1991.34,31.85,0.82,0
1991.34,31.86,0.82,0
1991.34,31.87,0.82,0
1991.34,31.88,0.82,0
1991.34,31.89,0.82,0
1991.34,31.9,0.82,0
1991.34,31.91,0.82,0
1991.34,31.92,0.82,0
1991.34,31.93,0.82,0
1991.34,31.94,0.82,0
1991.34,31.95,0.82,0
1991.34,31.96,0.82,0
1991.34,31.97,0.82,0
1991.34,31.98,0.82,0
1991.34,31.99,0.82,0
1991.34,32,0.82,0
1991.34,32.01,0.82,0
1991.34,31.93,0.81,0
1991.34,31.91,0.81,0
1991.34,31.89,0.81,0
1991.34,31.87,0.81,0
1991.34,31.85,0.81,0
1991.34,31.82,0.81,0
1991.34,31.79,0.81,0
1991.34,31.77,0.81,0
1991.34,31.74,0.81,0
1991.34,31.63,0.81,0
1991.34,31.59,0.81,0
1991.34,31.55,0.8,0
1991.34,31.52,0.8,0
1991.34,31.48,0.8,0
1991.34,31.45,0.8,0
1991.34,31.41,0.8,0
1991.34,31.37,0.8,0
1991.34,31.33,0.8,0
1991.34,31.29,0.8,0
1991.34,31.25,0.8,0
1991.34,31.21,0.8,0
1991.34,31.17,0.8,0
1991.34,31.13,0.79,0
1991.34,31.1,0.79,0
1991.34,31.06,0.79,0
1991.34,31.02,0.79,0
1991.34,30.98,0.79,0
1991.34,30.94,0.79,0
1991.34,30.9,0.79,0
1991.34,30.86,0.79,0
528.22,30.55,0.79,0
528.22,30.56,0.8,0
516.02,33.89,1.04,1.64
489.09,37.49,1.08,5.05
486.7,37.95,1.12,4.92
483.56,38.6,1.15,4.9
479.91,39.42,1.19,4.92
476.65,40.16,1.22,4.97
473.4,40.89,1.26,5.01
470.07,41.64,1.29,5.07
466.81,42.36,1.33,5.13
464.99,42.8,1.35,5.19
463.95,43.06,1.36,5.24
464.18,43.01,1.35,5.24
463.35,43.17,1.36,5.25
463.21,43.21,1.35,5.26
463.22,43.23,1.35,5.27
463.07,43.26,1.35,5.28
462.85,43.32,1.35,5.29
463.16,43.25,1.34,5.3
463.37,43.2,1.35,5.3
463.35,43.21,1.34,5.29
463.88,43.1,1.34,5.3
463.89,43.1,1.34,5.29
463.58,43.15,1.34,5.29
463.72,43.14,1.34,5.29
463.7,43.13,1.34,5.29
463.25,43.23,1.35,5.29
463.48,43.19,1.34,5.3
463.82,43.12,1.34,5.3
463.53,43.17,1.35,5.29
463.32,43.23,1.35,5.3
463.55,43.19,1.34,5.31
463.78,43.12,1.34,5.31
463.39,43.2,1.35,5.3
463.68,43.16,1.34,5.3
463.71,43.14,1.34,5.3
463.33,43.22,1.35,5.3
463.55,43.18,1.34,5.3
463.48,43.17,1.35,5.29
462.99,43.28,1.35,5.3
463.3,43.25,1.34,5.31
463.71,43.15,1.34,5.31
463.48,43.21,1.35,5.31
463.65,43.17,1.34,5.31
463.88,43.11,1.34,5.31
463.2,43.24,1.35,5.3
463.21,43.26,1.35,5.3
463.67,43.15,1.34,5.3
463.64,43.16,1.35,5.3
463.39,43.21,1.34,5.3
463.68,43.15,1.34,5.3
463.4,43.19,1.35,5.29
463.19,43.24,1.35,5.29
463.62,43.16,1.34,5.3
463.64,43.15,1.35,5.3
463.02,43.28,1.35,5.29
463.05,43.3,1.35,5.31
463.46,43.21,1.35,5.31
462.9,43.3,1.35,5.3
462.86,43.34,1.35,5.31
463.43,43.21,1.35,5.31
463.31,43.23,1.35,5.31
463.24,43.25,1.35,5.3
463.44,43.19,1.34,5.3
463.83,43.13,1.34,5.3
463.26,43.23,1.35,5.3
463.39,43.22,1.34,5.3
463.74,43.14,1.34,5.31
463.17,43.25,1.36,5.3
462.78,43.35,1.35,5.3
463.38,43.21,1.34,5.31
463.46,43.19,1.35,5.3
462.98,43.3,1.35,5.3
463.46,43.21,1.34,5.31
